"","clustsize","category"
"1",3,"All clusters"
"2",2,"All clusters"
"3",3,"All clusters"
"4",2,"All clusters"
"5",3,"All clusters"
"6",2,"All clusters"
"7",2,"All clusters"
"8",3,"All clusters"
"9",2,"All clusters"
"10",2,"All clusters"
"11",2,"All clusters"
"12",4,"All clusters"
"13",3,"All clusters"
"14",3,"All clusters"
"15",2,"All clusters"
"16",2,"All clusters"
"17",2,"All clusters"
"18",2,"All clusters"
"19",2,"All clusters"
"20",2,"All clusters"
"21",5,"All clusters"
"22",3,"All clusters"
"23",2,"All clusters"
"24",2,"All clusters"
"25",2,"All clusters"
"26",2,"All clusters"
"27",2,"All clusters"
"28",3,"All clusters"
"29",3,"All clusters"
"30",4,"All clusters"
"31",3,"All clusters"
"32",2,"All clusters"
"33",3,"All clusters"
"34",2,"All clusters"
"35",3,"All clusters"
"36",3,"All clusters"
"37",5,"All clusters"
"38",3,"All clusters"
"39",5,"All clusters"
"40",2,"All clusters"
"41",3,"All clusters"
"42",2,"All clusters"
"43",4,"All clusters"
"44",2,"All clusters"
"45",2,"All clusters"
"46",2,"All clusters"
"47",2,"All clusters"
"48",2,"All clusters"
"49",2,"All clusters"
"50",2,"All clusters"
"51",2,"All clusters"
"52",3,"All clusters"
"53",2,"All clusters"
"54",5,"All clusters"
"55",2,"All clusters"
"56",5,"All clusters"
"57",3,"All clusters"
"58",2,"All clusters"
"59",3,"All clusters"
"60",3,"All clusters"
"61",3,"All clusters"
"62",3,"All clusters"
"63",6,"All clusters"
"64",3,"All clusters"
"65",3,"All clusters"
"66",3,"All clusters"
"67",4,"All clusters"
"68",2,"All clusters"
"69",3,"All clusters"
"70",2,"All clusters"
"71",2,"All clusters"
"72",2,"All clusters"
"73",2,"All clusters"
"74",3,"All clusters"
"75",7,"All clusters"
"76",3,"All clusters"
"77",3,"All clusters"
"78",2,"All clusters"
"79",3,"All clusters"
"80",5,"All clusters"
"81",2,"All clusters"
"82",2,"All clusters"
"83",4,"All clusters"
"84",2,"All clusters"
"85",2,"All clusters"
"86",4,"All clusters"
"87",2,"All clusters"
"88",4,"All clusters"
"89",2,"All clusters"
"90",3,"All clusters"
"91",2,"All clusters"
"92",3,"All clusters"
"93",2,"All clusters"
"94",2,"All clusters"
"95",2,"All clusters"
"96",2,"All clusters"
"97",2,"All clusters"
"98",2,"All clusters"
"99",3,"All clusters"
"100",4,"All clusters"
"101",3,"All clusters"
"102",3,"All clusters"
"103",2,"All clusters"
"104",3,"All clusters"
"105",3,"All clusters"
"106",4,"All clusters"
"107",3,"All clusters"
"108",2,"All clusters"
"109",4,"All clusters"
"110",3,"All clusters"
"111",3,"All clusters"
"112",2,"All clusters"
"113",2,"All clusters"
"114",4,"All clusters"
"115",2,"All clusters"
"116",2,"All clusters"
"117",4,"All clusters"
"118",4,"All clusters"
"119",2,"All clusters"
"120",2,"All clusters"
"121",2,"All clusters"
"122",3,"All clusters"
"123",2,"All clusters"
"124",2,"All clusters"
"125",3,"All clusters"
"126",2,"All clusters"
"127",2,"All clusters"
"128",2,"All clusters"
"129",3,"All clusters"
"130",3,"All clusters"
"131",2,"All clusters"
"132",2,"All clusters"
"133",2,"All clusters"
"134",3,"All clusters"
"135",4,"All clusters"
"136",4,"All clusters"
"137",2,"All clusters"
"138",4,"All clusters"
"139",2,"All clusters"
"140",4,"All clusters"
"141",9,"All clusters"
"142",3,"All clusters"
"143",2,"All clusters"
"144",5,"All clusters"
"145",2,"All clusters"
"146",5,"All clusters"
"147",2,"All clusters"
"148",2,"All clusters"
"149",3,"All clusters"
"150",4,"All clusters"
"151",2,"All clusters"
"152",2,"All clusters"
"153",3,"All clusters"
"154",2,"All clusters"
"155",2,"All clusters"
"156",3,"All clusters"
"157",2,"All clusters"
"158",2,"All clusters"
"159",2,"All clusters"
"160",2,"All clusters"
"161",2,"All clusters"
"162",3,"All clusters"
"163",3,"All clusters"
"164",4,"All clusters"
"165",2,"All clusters"
"166",4,"All clusters"
"167",2,"All clusters"
"168",2,"All clusters"
"169",8,"All clusters"
"170",2,"All clusters"
"171",2,"All clusters"
"172",2,"All clusters"
"173",3,"All clusters"
"174",2,"All clusters"
"175",6,"All clusters"
"176",3,"All clusters"
"177",3,"All clusters"
"178",5,"All clusters"
"179",3,"All clusters"
"180",4,"All clusters"
"181",2,"All clusters"
"182",2,"All clusters"
"183",2,"All clusters"
"184",2,"All clusters"
"185",6,"All clusters"
"186",2,"All clusters"
"187",4,"All clusters"
"188",2,"All clusters"
"189",2,"All clusters"
