,clust_ID,clust_freq,reclassify,company
3,Prim1 Cluster_work_blue_63_KT Container Terminal,63,,
15,Prim1 Cluster_work_blue_104,37,,pak fai construction
28,Prim1 Cluster_work_blue_172_LT tunnel 2,21,,
52,Prim3 Cluster_work_blue_KTMC3,20,,
22,Prim1 Cluster_work_blue_133 LT tunnel,16,,
49,Prim2 Cluster_work_blue_203_3rd runway 2,16,,
5,Prim1 Cluster_work_blue_29_Sheung Shui Slaughter House,12,,
30,Prim1 Cluster_work_blue_174_central tunnel,10,,
42,Prim2 Cluster_work_blue_42_MKT worksite,10,,
23,Prim1 Cluster_work_blue_142,8,,cleaning at HK MC border island
32,Prim1 Cluster_work_blue_183,7,,cleaning contract with FEHD
37,Prim1 Cluster_work_blue_188,5,,construction
44,Prim2 Cluster_work_blue_64,5,,construction
60,Sec1 Cluster_sec_work_blue_060,5,,Kam Tai construction
1,Prim1 Cluster_work_blue_KerryLogistics,4,,
35,Prim1 Cluster_work_blue_189,4,,construction
40,Prim2 Cluster_work_blue_30,4,,fire engineering
51,Prim3 Cluster_work_blue_23_TM Water Rx (A),4,,
58,Sec1 Cluster_sec_work_blue_053,4,,sea crew
8,Prim1 Cluster_work_blue_35,3,,construction
10,Prim1 Cluster_work_blue_58,3,,Yau Ma Tei Harbour unloading
11,Prim1 Cluster_work_blue_66,3,,construction
12,Prim1 Cluster_work_blue_77_Forest,3,GCLA,cleaner at the forest mall MK
14,Prim1 Cluster_work_blue_138,3,,quality surveyor at engineering company
16,Prim1 Cluster_work_blue_115,3,,construction
17,Prim1 Cluster_work_blue_120,3,,printing company
19,Prim1 Cluster_work_serv_blue_125,3,,FEHD driver
25,Prim1 Cluster_work_blue_160,3,,construction
27,Prim1 Cluster_work_blue_165_3rd runway,3,,
29,Prim1 Cluster_work_blue_176,3,,wet market cleaner
38,Prim1 Cluster_work_blue_211,3,,factory
46,Prim2 Cluster_work_serv_blue_72_Kln Dairy,3,,
50,Prim2 Cluster_work_blue_193,3,,construction
53,Sec1 Cluster_sec_work_blue_021,3,,construction
54,Sec1 Cluster_sec_work_blue_017,3,,construction
56,Sec1 Cluster_sec_work_blue_048,3,,construction
63,Sec1 Cluster_sec_work_blue_066,3,,fishery
65,Sec2 Cluster_sec_work_blue_030,3,,rennovation
2,Prim1 Cluster_work_blue_17_concrete_driver,2,,
4,Prim1 Cluster_work_blue_21,2,,truck driver
6,Prim1 Cluster_work_blue_33,2,,cleaner
7,Prim1 Cluster_work_blue_waterRx,2,,
9,Prim1 Cluster_work_blue_51,2,,logistic (fish market)
13,Prim1 Cluster_work_blue_87,2,,construction
18,Prim1 Cluster_work_blue_214,2,,construction
20,Prim1 Cluster_work_blue_144,2,,cleaning
21,Prim1 Cluster_work_blue_135,2,,surveying technician at housing department
24,Prim1 Cluster_work_blue_146,2,,park repair worker
26,Prim1 Cluster_work_blue_166,2,,Labour fulcrum engineering and construction LTD
31,Prim1 Cluster_work_blue_180,2,,factory
33,Prim1 Cluster_work_blue_185,2,,rennovation
34,Prim1 Cluster_work_blue_200,2,,construction
36,Prim1 Cluster_work_blue_177_Central Tunnel West,2,,
39,Prim2 Cluster_work_blue_31,2,,factory (cement)
41,Prim2 Cluster_work_blue_59_shipfactory,2,,
43,Prim2 Cluster_work_blue_100a,2,,scafolder
45,Prim2 Cluster_work_blue_68,2,,construction
47,Prim2 Cluster_work_blue_71_Ka Luen,2,,construction
48,Prim2 Cluster_work_blue_140,2,,cleaning
55,Sec1 Cluster_sec_work_blue_040,2,,cleaning
57,Sec1 Cluster_sec_work_blue_054,2,,warehouse worker
59,Sec1 Cluster_sec_work_blue_058,2,,construction
61,Sec1 Cluster_sec_work_blue_063,2,,warehouse worker
62,Sec1 Cluster_sec_work_blue_070,2,,construction
64,Sec1 Cluster_sec_work_blue_069,2,,driver delivery flight meal
66,Sec2 Cluster_sec_work_blue_046,2,,construction
67,Sec2 Cluster_sec_work_blue_057,2,,cleaning
68,Tert Cluster_tert_work_blue_03,2,,cleaning
69,Tert Cluster_tert_work_blue_09,2,,construction
