"","clust_ID","clust_freq"
"1","Prim1 Cluster_RCHE_01_KongTai",44
"2","Prim1 Cluster_RCHE_02_WCH",6
"3","Prim1 Cluster_RCHE_03_TaiWai",10
"4","Prim1 Cluster_RCHE_04_TM_Cornwall",40
"5","Prim1 Cluster_RCHE_05_TaiPo (HW)",2
"6","Prim1 Cluster_RCHE_07_KingFok",14
"7","Prim1 Cluster_RCHE_08_SAGE Kai Yip",6
"8","Prim1 Cluster_RCHE_09_Ho Yuk Ching",24
"9","Prim1 Cluster_RCHE_10_百樂",4
"10","Prim1 Cluster_RCHE_11",2
"11","Prim1 Cluster_RCHE_12",2
"12","Prim1 Cluster_RCHE_13",3
"13","Prim2 Cluster_RCHE_06_PoChung",2
"14","Sec1 Cluster_sec_RCHE_01_那打素",4
"15","Sec1 Cluster_sec_RCHE_02_南山長者之家",4
"16","Prim1 Cluster_RCHD_02_Hong Chi",21
"17","Prim1 Cluster_RCHD_03_國寶之家",19
"18","Prim1 Cluster_RCHD_04方樹泉",60
"19","Prim1 Cluster_RCHD_05_扶康",3
"20","Prim1 Cluster_care_RCHD_04",2
"21","Prim1 Cluster_RCHD_06_明愛樂義",6
"22","Prim2 Cluster_RCHD_01_Bradbury",3
"23","Sec1 Cluster_sec_RCHD_保良局安泰",3
