"","clust_ID","clust_freq"
"1","Prim1 Cluster_meal_01_hotpot",11
"2","Prim1 Cluster_meal_03_domestic",2
"3","Prim1 Cluster_meal_04_domestic",4
"4","Prim1 Cluster_meal_06_Wong ChukHang",5
"5","Prim1 Cluster_meal_08",2
"6","Prim1 Cluster_meal_13",2
"7","Prim1 Cluster_meal_14",2
"8","Prim1 Cluster_meal_12",3
"9","Prim1 Cluster_meal_22",2
"10","Prim1 Cluster_meal_11",2
"11","Prim1 Cluster_meal_25",2
"12","Prim1 Cluster_meal_27",2
"13","Prim1 Cluster_meal_20",2
"14","Prim1 Cluster_meal_21",2
"15","Prim1 Cluster_meal_24",2
"16","Prim1 Cluster_meal_31",5
"17","Prim1 Cluster_meal_45",3
"18","Prim1 Cluster_meal_48",4
"19","Prim1 Cluster_meal_49",5
"20","Prim1 Cluster_meal_52",3
"21","Prim1 Cluster_meal_53",3
"22","Prim1 Cluster_meal_54",2
"23","Prim1 Cluster_meal_56",4
"24","Prim1 Cluster_meal_55",2
"25","Prim1 Cluster_meal_57",2
"26","Prim1 Cluster_meal_58",2
"27","Prim1 Cluster_meal_62",2
"28","Prim1 Cluster_meal_64",2
"29","Prim1 Cluster_meal_65",8
"30","Prim1 Cluster_meal_69",2
"31","Prim1 Cluster_meal_71",2
"32","Prim2 Cluster_meal_02_northpoint",6
"33","Prim2 Cluster_meal_05_banquet",3
"34","Prim2 Cluster_meal_09",2
"35","Prim2 Cluster_meal_TakKee",4
"36","Prim2 Cluster_meal_10",2
"37","Prim2 Cluster_meal_11",2
"38","Prim2 Cluster_meal_16",2
"39","Prim2 Cluster_meal_15",2
"40","Prim2 Cluster_meal_17",2
"41","Prim2 Cluster_meal_19",3
"42","Prim2 Cluster_meal_34",3
"43","Prim2 Cluster_meal_26",2
"44","Prim2 Cluster_meal_30",4
"45","Prim2 Cluster_meal_29",2
"46","Prim2 Cluster_meal_32",2
"47","Prim2 Cluster_meal_37",2
"48","Prim2 Cluster_meal_40",3
"49","Prim2 Cluster_meal_41",2
"50","Prim2 Cluster_meal_43",6
"51","Prim2 Cluster_meal_44",2
"52","Prim2 Cluster_meal_50",3
"53","Prim2 Cluster_meal_59",2
"54","Prim2 Cluster_meal_61",2
"55","Prim2 Cluster_meal_60",3
"56","Prim2 Cluster_meal_63",5
"57","Prim3 Cluster_meal_33",2
"58","Prim3 Cluster_meal_18",3
"59","Prim3 Cluster_meal_35",2
"60","Prim3 Cluster_meal_Royal Garden",2
"61","Prim3 Cluster_meal_42",3
"62","Prim3 Cluster_meal_51",2
"63","Prim3 Cluster_meal_70",2
"64","Prim3 Cluster_meal_68",3
"65","Sec1 Cluster_sec_meal_07_TST",3
"66","Sec1 Cluster_sec_meal_05",2
"67","Sec1 Cluster_sec_meal_01",2
"68","Sec1 Cluster_sec_meal_12",2
"69","Sec1 Cluster_sec_meal_09",2
"70","Sec1 Cluster_sec_friends_25_QEH colleague meal",2
"71","Sec1 Cluster_sec_meal_13",3
"72","Sec1 Cluster_sec_meal_27",2
"73","Sec1 Cluster_sec_meal_19",4
"74","Sec1 Cluster_sec_meal_15",2
"75","Sec1 Cluster_sec_meal_16",2
"76","Sec1 Cluster_sec_meal_20",2
"77","Sec1 Cluster_sec_meal_18",2
"78","Sec1 Cluster_sec_meal_24",4
"79","Sec1 Cluster_sec_meal_25",2
"80","Sec1 Cluster_sec_meal_29",2
"81","Sec1 Cluster_sec_meal_32",3
"82","Sec1 Cluster_sec_meal_30",2
"83","Sec1 Cluster_sec_meal_33",5
"84","Sec2 Cluster_sec_meal_02",4
"85","Sec2 Cluster_sec_meal_14",3
"86","Sec2 Cluster_sec_meal_21",2
"87","Sec2 Cluster_sec_meal_28",2
"88","Sec2 Cluster_sec_meal_22",2
"89","Sec2 Cluster_sec_meal_34",2
"90","Tert Cluster_tert_meal_01",2
"91","Tert Cluster_tert_meal_02",3
"92","Tert Cluster_tert_meal_03",2
"93","Tert Cluster_tert_meal_04",2
"94","Tert Cluster_tert_meal_05",2
"95","Prim1 Cluster_R&M_Res_Youtang",3
"96","Prim1 Cluster_R&M_Res_BunKeeCongee",14
"97","Prim1 Cluster_R&M_Res_GreenRiver_01",18
"98","Prim1 Cluster_R&M_Res_DimSumSquare_01",5
"99","Prim1 Cluster_R&M_Res_Windsor",12
"100","Prim1 Cluster_R&M_Res_MF_CapitalCanton",2
"101","Prim1 Cluster_R&M_Res_MK_grandplaza_0712",2
"102","Prim1 Cluster_R&M_Res_SaiKung",3
"103","Prim1 Cluster_R&M_Res_starmoon1",4
"104","Prim1 Cluster_R&M_Res_Springpoem1",9
"105","Prim1 Cluster_R&M_Res_starmoon2",11
"106","Prim1 Cluster_R&M_Res_TKW",7
"107","Prim1 Cluster_R&M_Res_WMCongee",6
"108","Prim2 Cluster_R&M_Res_luckydragon",2
"109","Prim2 Cluster_R&M_Res_TuenMun_Fulum",23
"110","Prim2 Cluster_R&M_Res_gathering_Metroplaza",9
"111","Prim2 Cluster_R&M_Res_MK_Grandplaza_0713",4
"112","Prim2 Cluster_R&M_Res_Fung Ying Seen Koon",3
"113","Prim2 Cluster_R&M_Res_Otto",7
"114","Prim2 Cluster_R&M_Res_K11Ming",32
"115","Prim3 Cluster_R&M_Res_Sunfat",8
"116","Prim3 Cluster_R&M_Res_Delux",18
"117","Prim3 Cluster_R&M_Res_VictoriaHarbour",8
"118","Prim3 Cluster_R&M_Res_TST_GoodTake",5
"119","Sec1 Cluster_sec_R&M_Res_outback TST",2
"120","Sec1 Cluster_sec_R&M_Res_PineMount",2
"121","Sec2 Cluster_sec_R&M_Res_CoastSeafood",5
"122","Prim1 Cluster_work_serv_res_03_La Cabane Bistro",3
"123","Prim1 Cluster_work_serv_res_10_TWS",2
