"","clust_ID","clust_freq"
"1","Prim1 Cluster_fam_003",3
"2","Prim1 Cluster_fam_004",2
"3","Prim1 Cluster_fam_005",3
"4","Prim1 Cluster_fam_006",2
"5","Prim1 Cluster_fam_007",3
"6","Prim1 Cluster_fam_011",2
"7","Prim1 Cluster_fam_012",2
"8","Prim1 Cluster_fam_013",3
"9","Prim1 Cluster_fam_015",2
"10","Prim1 Cluster_fam_018",2
"11","Prim1 Cluster_fam_020",2
"12","Prim1 Cluster_fam_017",4
"13","Prim1 Cluster_fam_024",3
"14","Prim1 Cluster_fam_060",3
"15","Prim1 Cluster_fam_028",2
"16","Prim1 Cluster_fam_027",2
"17","Prim1 Cluster_fam_049",2
"18","Prim1 Cluster_fam_055",2
"19","Prim1 Cluster_fam_056",2
"20","Prim1 Cluster_fam_037",2
"21","Prim1 Cluster_fam_036",5
"22","Prim1 Cluster_fam_045",3
"23","Prim1 Cluster_fam_046",2
"24","Prim1 Cluster_fam_054",2
"25","Prim1 Cluster_fam_068",2
"26","Prim1 Cluster_fam_067",2
"27","Prim1 Cluster_fam_063",2
"28","Prim1 Cluster_fam_075",3
"29","Prim1 Cluster_fam_078",3
"30","Prim1 Cluster_fam_079",4
"31","Prim1 Cluster_fam_107",3
"32","Prim1 Cluster_fam_125",2
"33","Prim1 Cluster_fam_132",3
"34","Prim1 Cluster_fam_127",2
"35","Prim1 Cluster_fam_119",3
"36","Prim1 Cluster_fam_118",3
"37","Prim1 Cluster_fam_130",5
"38","Prim1 Cluster_fam_122",3
"39","Prim1 Cluster_fam_123",5
"40","Prim1 Cluster_fam_172",2
"41","Prim1 Cluster_fam_135",3
"42","Prim1 Cluster_fam_131",2
"43","Prim1 Cluster_fam_128",4
"44","Prim1 Cluster_fam_133",2
"45","Prim1 Cluster_fam_129",2
"46","Prim1 Cluster_fam_142",2
"47","Prim1 Cluster_fam_144",2
"48","Prim1 Cluster_fam_248",2
"49","Prim1 Cluster_fam_136",2
"50","Prim1 Cluster_fam_139",2
"51","Prim1 Cluster_fam_141",2
"52","Prim1 Cluster_fam_140",3
