"","clust_ID","clust_freq"
"1","Prim1 Cluster_nosocomial_01",2
"2","Prim1 Cluster_noso_TMH_eyeclinic",4
"3","Prim1 Cluster_noso_GP_01",2
"4","Prim1 Cluster_work_noso_16_TCM",5
"5","Prim1 Cluster_work_noso_34_PMH",3
"6","Prim1 Cluster_nosocomial_02",4
"7","Prim1 Cluster_work_noso_106",2
"8","Prim1 Cluster_nosocomial_AWE",17
"9","Prim1 Cluster_nosocomial_06",21
"10","Prim1 Cluster_nosocomial_07",4
"11","Prim1 Cluster_nosocomial_08",2
"12","Prim1 Cluster_work_noso_195",2
"13","Prim2 Cluster_nosocomial_04",7
"14","Prim2 Cluster_nosocomial_03",7
"15","Prim2 Cluster_work_noso_75",2
"16","Prim2 Cluster_work_noso_81_clinic",2
"17","Prim2 Cluster_nosocomial_05_Buddhist",2
"18","Prim2 Cluster_work_noso_100",2
"19","Prim2 Cluster_work_noso_100b",2
"20","Sec1 Cluster_sec_work_noso_009",2
"21","Sec1 Cluster_sec_nosocomial_01",2
"22","Sec1 Cluster_sec_work_noso_027",5
"23","Sec1 Cluster_sec_care_noso_02",2
"24","Sec1 Cluster_sec_nosocomial_02",7
"25","Sec1 Cluster_sec_care_noso_03",3
"26","Sec1 Cluster_sec_work_noso_049",2
"27","Sec1 Cluster_sec_work_noso_045",3
"28","Sec1 Cluster_sec_work_noso_044",2
"29","Sec1 Cluster_sec_nosocomial_04",3
"30","Sec1 Cluster_sec_nosocomial_05",5
"31","Sec1 Cluster_sec_nosocomial_06",4
"32","Sec1 Cluster_sec_care_noso_05",3
"33","Sec1 Cluster_sec_care_noso_06",4
"34","Sec2 Cluster_sec_nosocomial_03",2
